supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	morphology_group	top_nt	top_nt_conf	side	nerve	vfb_id	fbbt_id	status
79166074620505105	720575940636994111	124680	24520	3759	124680.0	24520.0	3759.0	4371303.0	intrinsic	central	CX	columnar		PFL1	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.6211210997156775	left		fw001399	FBbt_00111433	
79658518256589404	720575940626471957	131384	22720	2812	131384.0	22720.0	2812.0	4370353.0	intrinsic	central	CX	columnar		PFL1	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.6733268858604664	right		fw001772	FBbt_00111433	
78393736220313671	720575940638901875	112894	50448	2381	132696.0	24312.0	3037.0	4920033.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.736056849968131	right		fw002872	FBbt_00111443	
79517918274336185	720575940628587202	129152	24984	3303	129152.0	24984.0	3303.0	4373391.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7336487671854557	left		fw003174	FBbt_00111443	
78814780790066179	720575940631166637	119480	32584	5084	119480.0	32584.0	5084.0	3588597.0	intrinsic	central	CX	columnar		PFL1	DM3_CX_d2	DPMpm2_CX_d2	DM3_CX_d2__0	acetylcholine	0.6698341714134873	left		fw003675	FBbt_00111433	
80785380504762643	720575940636868186	147824	37008	4975	147824.0	37008.0	4975.0	5666915.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7500852339539218	right		fw003808	FBbt_00111443	
80714736882305819	720575940613829535	146720	32632	4691	146720.0	32632.0	4691.0	5641168.0	intrinsic	central	CX	columnar		PFL1	DM4_CX_d1	CM4_CX_d1		acetylcholine	0.7197646541805506	right		fw008690	FBbt_00111433	
79588218232283818	720575940620202266	130400	23256	3085	130400.0	23256.0	3085.0	4369912.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7439427063942271	left		fw008959	FBbt_00111443	
78463761836600943	720575940638678616	114528	44880	5733	114528.0	44880.0	5733.0	3055138.0	intrinsic	central	CX	columnar		PFL2	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.7272043290643142	left		fw008971	FBbt_00111451	
79869830647946427	720575940635481262	134304	26048	3080	134304.0	26048.0	3080.0	4940070.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7297575826935403	right		fw008973	FBbt_00111443	
80785449224163476	720575940637475561	147528	38168	4893	147528.0	38168.0	4893.0	5666772.0	intrinsic	central	CX	columnar		PFL1	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.6985882321807325	right		fw010193	FBbt_00111433	
79658518256423193	720575940635467150	131008	22536	2649	131008.0	22536.0	2649.0	4370188.0	intrinsic	central	CX	columnar		PFL2	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__1	acetylcholine	0.7300491482637047	right		fw011419	FBbt_00111451	
81277274250653899	720575940627010234	154881	26317	2830	178144.0	49304.0	2488.0	7376553.0	intrinsic	central				NPFL1-I	putative_primary	putative_primary		serotonin	0.7969724679372593	right		fw013587	FBbt_00048114	
79869624489186332	720575940620657140	134176	22792	2928	134176.0	22792.0	2928.0	4920675.0	intrinsic	central	CX	columnar		PFL2	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__1	acetylcholine	0.7443901307349128	right		fw025439	FBbt_00111451	
80080799508154195	720575940622348725	137816	23392	3189	137816.0	23392.0	3189.0	4925159.0	intrinsic	central	CX	columnar		PFL1	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.6828944473636837	right		fw026958	FBbt_00111433	
80081005666864155	720575940616885824	137240	26880	3393	137240.0	26880.0	3393.0	4943391.0	intrinsic	central	CX	columnar		PFL1	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__0	acetylcholine	0.6795593583924976	right		fw027240	FBbt_00111433	
79447412024173809	720575940626763688	128576	22752	2865	128576.0	22752.0	2865.0	4368354.0	intrinsic	central	CX	columnar		PFL2	DM2_CX_d2	DPMpm1_CX_d2		acetylcholine	0.7470968158493574	left		fw028136	FBbt_00111451	
80362686869089972	720575940635430030	141952	29368	3915	141952.0	29368.0	3915.0	5629685.0	intrinsic	central	CX	columnar		PFL3	DM3_CX_d2	DPMpm2_CX_d2	DM3_CX_d2__0	acetylcholine	0.7801624977237781	right		fw028486	FBbt_00111443	
78604361819146659	720575940630728588	116616	42928	5411	116616.0	42928.0	5411.0	3672523.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7519956161089855	left		fw028555	FBbt_00111443	
79869693208836847	720575940623937976	135000	23264	2971	135000.0	23264.0	2971.0	4920879.0	intrinsic	central	CX	columnar		PFL2	DM2_CX_d2	DPMpm1_CX_d2	DM2_CX_d2__1	acetylcholine	0.7608431876028587	right		fw028590	FBbt_00111451	
80926392937816494	720575940619802800	150048	41528	5233	150048.0	41528.0	5233.0	6373092.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7520807368969341	right		fw028758	FBbt_00111443	
78604430605394796	720575940630631736	116000	43960	5685	116000.0	43960.0	5685.0	3672336.0	intrinsic	central	CX	columnar		PFL1	DM4_CX_d2	CM4_CX_d2	DM4_CX_d2__0	acetylcholine	0.6787509282764561	left		fw028977	FBbt_00111433	
78885080814513681	720575940628457448	120032	31448	4898	120032.0	31448.0	4898.0	3589260.0	intrinsic	central	CX	columnar		PFL3	DM4_CX_d1	CM4_CX_d1	DM4_CX_d1__0	acetylcholine	0.7691962782511562	left		fw029421	FBbt_00111443	
79588287018414555	720575940619648116	130048	25080	3234	130048.0	25080.0	3234.0	4396339.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7342050887807119	left		fw029647	FBbt_00111443	
79659824061032177	720575940619006087	131867	42534	3895	132464.0	22688.0	2875.0	4919918.0	intrinsic	central	CX	columnar		PFL3	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.7154288199904308	right		fw029653	FBbt_00111443	
79588218231956712	720575940626099343	130376	23456	2847	130376.0	23456.0	2847.0	4369857.0	intrinsic	central	CX	columnar		PFL1	DM1_CX_d2	DPMm1_CX_d2	DM1_CX_d2__0	acetylcholine	0.6947320578099759	right		fw029797	FBbt_00111433	
79166212059649760	720575940624320318	124008	26400	3896	124008.0	26400.0	3896.0	4394698.0	intrinsic	central	CX	columnar		PFL3	DM2_CX_d1	DPMpm1_CX_d1	DM2_CX_d1__0	acetylcholine	0.7282064220550855	left		fw029966	FBbt_00111443	
79447412024067034	720575940617498688	127968	22560	2768	127968.0	22560.0	2768.0	4367737.0	intrinsic	central	CX	columnar		PFL2	DM3_CX_d1	DPMpm2_CX_d1		acetylcholine	0.7342974429672032	left		fw030032	FBbt_00111451	
80292111966333322	720575940631151663	140728	26920	3781	140728.0	26920.0	3781.0	5629353.0	intrinsic	central	CX	columnar		PFL3	DM3_CX_d1	DPMpm2_CX_d1	DM3_CX_d1__0	acetylcholine	0.7536620539975142	right		fw030168	FBbt_00111443	
