row_sum,name
210.0,hDeltaA
172.0,hDeltaA
163.0,hDeltaM
158.0,hDeltaA
157.0,hDeltaM
154.0,hDeltaM
151.0,hDeltaM
147.0,hDeltaI
145.0,hDeltaA
143.0,hDeltaA
142.0,hDeltaI
138.0,hDeltaA
132.0,hDeltaA
130.0,hDeltaI
130.0,hDeltaM
130.0,hDeltaA
127.0,hDeltaM
126.0,Delta7
120.0,hDeltaI
118.0,hDeltaI
116.0,hDeltaI
111.0,hDeltaI
111.0,hDeltaA
103.0,hDeltaI
97.0,hDeltaM
94.0,hDeltaM
89.0,Delta7
85.0,hDeltaI
83.0,Delta7
83.0,hDeltaH
79.0,hDeltaI
77.0,hDeltaH
76.0,Delta7
72.0,Delta7
67.0,Delta7
66.0,Delta7
65.0,hDeltaH
63.0,Delta7
59.0,hDeltaI
56.0,hDeltaI
56.0,hDeltaI
54.0,hDeltaI
54.0,hDeltaH
50.0,FC2A
48.0,hDeltaH
45.0,FB5A
45.0,EPG
44.0,hDeltaI
39.0,hDeltaH
36.0,hDeltaH
34.0,hDeltaH
30.0,Delta7
29.0,Delta7
27.0,Delta7
26.0,P1-9
25.0,FC2A
25.0,Delta7
24.0,FC2A
24.0,hDeltaI
23.0,FB5A
23.0,Delta7
23.0,Delta7
22.0,EPG
22.0,Delta7
22.0,FC2B
22.0,Delta7
22.0,FC2A
21.0,hDeltaI
21.0,FC2A
21.0,hDeltaI
21.0,Delta7
21.0,P1-9
21.0,VES041
21.0,EPG
