Clusters,Neurone names,Cluster names
11,hDeltaA,"""PFNm,PFNp""-74"
12,"""PFNm,PFNp""",hDeltaI-18
9,FB4Y,"""FB4P,FB4Q,FB4R""-6"
9,FB4Y-1,"""FB4P,FB4Q,FB4R""-6"
11,EPG,"""PFNm,PFNp""-74"
2,"""FB5C,FB5F,FB5G,FB5P,FB5Q""",FB4X-1
9,"""FB5D,FB5E""","""FB4P,FB4Q,FB4R""-6"
9,FB4P_a,"""FB4P,FB4Q,FB4R""-6"
9,FB4P_a-1,"""FB4P,FB4Q,FB4R""-6"
9,"""FB4A,FB4D,FB4E,FB4F,FB4G,FB4H,FB4I,FB4J""","""FB4P,FB4Q,FB4R""-6"
2,"""FB5J,FB5K,FB5L,FB5M,FB5N,FB5W""",FB4X-1
10,EPG-1,Delta7-39
6,FC2A,PFL3-33
6,hDeltaM,PFL3-33
6,FC2C,PFL3-33
13,EPG-2,"""PFNm,PFNp""-75"
7,"""PFNm,PFNp""-1",hDeltaM-4
6,FC2C-1,PFL3-33
6,"""FB5C,FB5F,FB5G,FB5P,FB5Q""-1",PFL3-33
2,hDeltaG,FB4X-1
13,"""PFNm,PFNp""-2","""PFNm,PFNp""-75"
6,FC2C-2,PFL3-33
13,"""PFNm,PFNp""-3","""PFNm,PFNp""-75"
6,PFL3,PFL3-33
10,EPG-3,Delta7-39
11,hDeltaI,"""PFNm,PFNp""-74"
6,FC2C-3,PFL3-33
6,FC2C-4,PFL3-33
10,EPG-4,Delta7-39
6,FC2B,PFL3-33
3,"""vDeltaF,vDeltaG,vDeltaH,vDeltaI""",hDeltaH-6
10,EPG-5,Delta7-39
11,"""PFNm,PFNp""-4","""PFNm,PFNp""-74"
6,"""FB5C,FB5F,FB5G,FB5P,FB5Q""-2",PFL3-33
10,EPG-6,Delta7-39
7,hDeltaI-1,hDeltaM-4
12,"""PFNm,PFNp""-5",hDeltaI-18
10,EPG-7,Delta7-39
11,hDeltaA-1,"""PFNm,PFNp""-74"
6,FB5H,PFL3-33
11,"""PFNm,PFNp""-6","""PFNm,PFNp""-74"
6,FC2B-1,PFL3-33
6,FC2C-5,PFL3-33
11,"""PFNm,PFNp""-7","""PFNm,PFNp""-74"
6,"""FB5C,FB5F,FB5G,FB5P,FB5Q""-3",PFL3-33
10,Delta7,Delta7-39
10,Delta7-1,Delta7-39
10,Delta7-2,Delta7-39
7,"""PFNm,PFNp""-8",hDeltaM-4
